2;6;10;8;3;5;2016-04-28 17:18:32 
2;6;10;8;10;9;2016-04-28 17:18:54 
8;10;6;2;9;10;2016-04-28 17:19:03 
3;2;1;8;7;10;2016-04-28 17:19:31 
6;1;7;3;10;2;2016-04-28 17:24:23 
2;1;7;6;10;4;2016-04-28 17:25:06 
8;4;3;2;2;10;2016-04-28 17:25:27 
3;2;8;4;7;10;2016-04-28 17:25:45 
6;1;2;8;4;10;2016-04-28 17:26:11 
2;3;6;4;10;9;2016-04-28 17:26:34 
4;6;1;2;10;8;2016-04-28 17:27:45 
4;6;2;1;6;10;2016-04-28 17:28:01 
1;2;4;6;10;9;2016-04-28 17:28:20 
1;8;2;4;3;10;2016-04-28 17:58:51 
4;8;1;2;6;10;2016-04-28 18:04:29 
1;4;8;2;2;10;2016-04-28 18:28:33 
2;8;4;3;10;4;2016-04-28 19:31:11 
4;8;3;2;10;8;2016-04-28 19:39:33 
5;2;1;3;10;3;2016-04-29 16:05:42 
2;1;3;5;10;5;2016-04-29 16:11:32 
3;2;1;8;9;10;2016-04-29 16:21:55 
6;1;2;11;1;3;2016-05-05 10:07:24 
1;4;2;6;1;5;2016-05-04 12:57:19 
8;6;2;1;10;5;2016-05-04 13:15:13 
2;9;1;6;10;2;2016-05-04 13:25:09 
8;1;4;2;2;10;2016-05-05 10:48:22 
1;2;8;4;7;10;2016-05-05 10:56:18 
4;9;8;2;4;10;2016-05-05 11:03:58 
6;10;2;1;10;3;2016-05-05 11:30:18 
3;8;4;1;8;10;2016-05-05 13:44:03 
3;8;9;1;7;10;2016-05-05 13:50:08 
2;9;3;4;10;4;2016-05-05 13:57:14 
9;3;1;2;3;10;2016-05-05 14:04:21 
9;1;3;10;9;10;2016-05-05 15:41:48 
3;1;9;10;1;10;2016-05-05 15:50:51 
1;8;3;4;10;9;2016-05-05 17:19:14 
3;8;4;1;10;8;2016-05-05 17:27:16 
3;1;8;4;8;10;2016-05-05 17:35:27 
3;4;1;10;10;8;2016-05-05 18:19:22 
3;1;10;8;5;10;2016-05-05 18:28:17 
3;8;4;10;10;9;2016-05-05 18:38:25 
10;7;8;5;10;1;2016-05-06 08:36:52 
5;10;8;7;2;10;2016-05-06 08:44:06 
3;10;8;1;8;10;2016-05-06 09:59:57 
8;3;10;1;10;8;2016-05-06 10:11:53 
1;7;10;3;10;6;2016-05-06 10:20:37 
7;3;10;2;3;10;2016-05-06 10:26:34 
6;4;2;1;5;1;2016-05-06 12:03:05 
2;4;1;6;5;2;2016-05-06 12:08:17 
8;3;9;6;1;10;2016-05-06 12:29:50 
8;3;6;9;8;10;2016-05-06 12:43:45 
1;9;4;3;7;10;2016-05-06 13:33:02 
1;8;2;7;4;10;2016-05-06 15:47:15 
2;8;3;1;10;4;2016-05-06 16:00:13 
2;10;8;4;10;6;2016-05-06 16:22:39 
2;10;4;8;7;10;2016-05-06 16:31:09 
2;8;4;3;10;2;2016-05-06 18:07:43 
2;3;8;4;5;10;2016-05-06 18:14:59 
8;3;4;2;3;10;2016-05-06 18:20:34 
10;5;8;3;10;8;2016-05-09 12:05:00 
10;5;3;8;8;10;2016-05-09 14:13:17 
6;3;8;10;6;10;2016-05-09 16:11:28 
8;10;6;3;10;7;2016-05-09 16:25:11 
3;8;10;6;10;6;2016-05-09 16:32:54 
10;1;3;7;8;10;2016-05-10 10:16:51 
10;1;7;3;10;1;2016-05-10 10:23:48 
10;7;1;3;10;8;2016-05-10 10:32:04 
6;8;1;3;10;2;2016-05-10 13:44:28 
8;3;1;6;10;7;2016-05-10 13:56:59 
3;9;6;10;3;10;2016-05-10 14:10:32 
3;6;9;10;6;10;2016-05-10 14:16:51 
1;6;3;5;10;4;2016-05-10 16:18:37 
6;1;9;3;10;4;2016-05-10 16:30:44 
10;9;8;3;9;10;2016-05-10 18:14:26 
3;9;8;10;5;10;2016-05-10 18:21:32 
3;8;9;10;7;10;2016-05-10 18:28:37 
